,Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
16,17,20,RL,,11241,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,No,ALQ,578,Unf,0,426,1004,GasA,5,SBrkr,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3,Attchd,1970.0,Fin,2,480,3,3,Y,0,0,0,0,0,0,700,3,2010,WD,Normal,149000
17,18,90,RL,72.0,10791,Reg,Lvl,Inside,Gtl,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,None,0.0,3,3,Slab,0,0,NA,NA,0,NA,0,0,0,GasA,3,SBrkr,1296,0,0,1296,0,0,2,0,2,2,3,6,Typ,0,0,CarPort,1967.0,Unf,2,516,3,3,Y,0,0,0,0,0,0,500,10,2006,WD,Normal,90000
18,19,20,RL,66.0,13695,Reg,Lvl,Inside,Gtl,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,None,0.0,3,3,PConc,3,3,No,GLQ,646,Unf,0,468,1114,GasA,5,SBrkr,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,0,Detchd,2004.0,Unf,2,576,3,3,Y,0,102,0,0,0,0,0,6,2008,WD,Normal,159000
19,20,20,RL,70.0,7560,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,None,0.0,3,3,CBlock,3,3,No,LwQ,504,Unf,0,525,1029,GasA,3,SBrkr,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,0,Attchd,1958.0,Unf,1,294,3,3,Y,0,0,0,0,0,0,0,5,2009,COD,Abnorml,139000
20,21,60,RL,101.0,14215,IR1,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,BrkFace,380.0,4,3,PConc,5,3,Av,Unf,0,Unf,0,1158,1158,GasA,5,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2005.0,RFn,3,853,3,3,Y,240,154,0,0,0,0,0,11,2006,New,Partial,325300
21,22,45,RM,57.0,7449,Reg,Bnk,Inside,Gtl,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,None,0.0,3,3,PConc,3,3,No,Unf,0,Unf,0,637,637,GasA,5,FuseF,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4,Attchd,1930.0,Unf,1,280,3,3,N,0,0,205,0,0,0,0,6,2007,WD,Normal,139400
22,23,20,RL,75.0,9742,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,BrkFace,281.0,4,3,PConc,4,3,No,Unf,0,Unf,0,1777,1777,GasA,5,SBrkr,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2002.0,RFn,2,534,3,3,Y,171,159,0,0,0,0,0,9,2008,WD,Normal,230000
23,24,120,RM,44.0,4224,Reg,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,None,0.0,3,3,PConc,4,3,No,GLQ,840,Unf,0,200,1040,GasA,3,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1976.0,Unf,2,572,3,3,Y,100,110,0,0,0,0,0,6,2007,WD,Normal,129900
24,25,20,RL,,8246,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,None,0.0,3,4,CBlock,3,3,Mn,Rec,188,ALQ,668,204,1060,GasA,5,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,Typ,1,3,Attchd,1968.0,Unf,1,270,3,3,Y,406,90,0,0,0,0,0,5,2010,WD,Normal,154000
25,26,20,RL,110.0,14230,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,Stone,640.0,4,3,PConc,4,3,No,Unf,0,Unf,0,1566,1566,GasA,5,SBrkr,1600,0,0,1600,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2007.0,RFn,3,890,3,3,Y,0,56,0,0,0,0,0,7,2009,WD,Normal,256300
26,27,20,RL,60.0,7200,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,None,0.0,3,3,CBlock,3,3,Mn,BLQ,234,Rec,486,180,900,GasA,3,SBrkr,900,0,0,900,0,1,1,0,3,1,4,5,Typ,0,0,Detchd,2005.0,Unf,2,576,3,3,Y,222,32,0,0,0,0,0,5,2010,WD,Normal,134800
27,28,20,RL,98.0,11478,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,Stone,200.0,4,3,PConc,5,3,No,GLQ,1218,Unf,0,486,1704,GasA,5,SBrkr,1704,0,0,1704,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2008.0,RFn,3,772,3,3,Y,0,50,0,0,0,0,0,5,2010,WD,Normal,306000
28,29,20,RL,47.0,16321,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,None,0.0,3,3,CBlock,3,3,Gd,BLQ,1277,Unf,0,207,1484,GasA,3,SBrkr,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,4,Attchd,1957.0,RFn,1,319,3,3,Y,288,258,0,0,0,0,0,12,2006,WD,Normal,207500
29,30,30,RM,60.0,6324,IR1,Lvl,Inside,Gtl,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,None,0.0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,520,520,GasA,2,SBrkr,520,0,0,520,0,0,1,0,1,1,2,4,Typ,0,0,Detchd,1920.0,Unf,1,240,2,3,Y,49,0,87,0,0,0,0,5,2008,WD,Normal,68500
30,31,70,C (all),50.0,8500,Reg,Lvl,Inside,Gtl,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,None,0.0,3,2,BrkTil,3,3,No,Unf,0,Unf,0,649,649,GasA,3,SBrkr,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,0,Detchd,1920.0,Unf,1,250,3,2,N,0,54,172,0,0,0,0,7,2008,WD,Normal,40000
31,32,20,RL,,8544,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,None,0.0,3,3,CBlock,3,3,No,Unf,0,Unf,0,1228,1228,GasA,4,SBrkr,1228,0,0,1228,0,0,1,1,3,1,4,6,Typ,0,0,Attchd,1966.0,Unf,1,271,3,3,Y,0,65,0,0,0,0,0,6,2008,WD,Normal,149350
32,33,20,RL,85.0,11049,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,5,3,Av,Unf,0,Unf,0,1234,1234,GasA,5,SBrkr,1234,0,0,1234,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2007.0,RFn,2,484,3,3,Y,0,30,0,0,0,0,0,1,2008,WD,Normal,179900
33,34,20,RL,70.0,10552,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,None,0.0,3,3,CBlock,3,3,No,Rec,1018,Unf,0,380,1398,GasA,4,SBrkr,1700,0,0,1700,0,1,1,1,4,1,4,6,Typ,1,4,Attchd,1959.0,RFn,2,447,3,3,Y,0,38,0,0,0,0,0,4,2010,WD,Normal,165500
34,35,120,RL,60.0,7313,Reg,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,BrkFace,246.0,5,3,PConc,5,3,No,GLQ,1153,Unf,0,408,1561,GasA,5,SBrkr,1561,0,0,1561,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,Fin,2,556,3,3,Y,203,47,0,0,0,0,0,8,2007,WD,Normal,277500
35,36,60,RL,108.0,13418,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,Stone,132.0,4,3,PConc,5,3,Av,Unf,0,Unf,0,1117,1117,GasA,5,SBrkr,1132,1320,0,2452,0,0,3,1,4,1,4,9,Typ,1,4,BuiltIn,2004.0,Fin,3,691,3,3,Y,113,32,0,0,0,0,0,9,2006,WD,Normal,309000
36,37,20,RL,112.0,10859,Reg,Lvl,Corner,Gtl,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,None,0.0,3,3,PConc,4,3,No,Unf,0,Unf,0,1097,1097,GasA,5,SBrkr,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,1995.0,Unf,2,672,3,3,Y,392,64,0,0,0,0,0,6,2009,WD,Normal,145000
37,38,20,RL,74.0,8532,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,BrkFace,650.0,3,3,CBlock,3,3,No,Rec,1213,Unf,0,84,1297,GasA,4,SBrkr,1297,0,0,1297,0,1,1,0,3,1,3,5,Typ,1,3,Attchd,1954.0,Fin,2,498,3,3,Y,0,0,0,0,0,0,0,10,2009,WD,Normal,153000
38,39,20,RL,68.0,7922,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,None,0.0,3,4,CBlock,3,3,No,GLQ,731,Unf,0,326,1057,GasA,3,SBrkr,1057,0,0,1057,1,0,1,0,3,1,4,5,Typ,0,0,Detchd,1953.0,Unf,1,246,3,3,Y,0,52,0,0,0,0,0,1,2010,WD,Abnorml,109000
39,40,90,RL,65.0,6040,Reg,Lvl,Inside,Gtl,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,None,0.0,3,3,PConc,0,0,NA,NA,0,NA,0,0,0,GasA,3,FuseP,1152,0,0,1152,0,0,2,0,2,2,2,6,Typ,0,0,NA,0.0,NA,0,0,0,0,N,0,0,0,0,0,0,0,6,2008,WD,AdjLand,82000
40,41,20,RL,84.0,8658,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,BrkFace,101.0,3,3,CBlock,3,3,No,Rec,643,Unf,0,445,1088,GasA,5,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,3,Attchd,1965.0,RFn,2,440,3,3,Y,0,138,0,0,0,0,0,12,2006,WD,Abnorml,160000
41,42,20,RL,115.0,16905,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,None,0.0,3,4,CBlock,3,3,Gd,BLQ,967,Unf,0,383,1350,GasA,4,SBrkr,1328,0,0,1328,0,1,1,1,2,1,3,5,Typ,2,4,Attchd,1959.0,RFn,1,308,3,3,P,0,104,0,0,0,0,0,7,2007,WD,Normal,170000
42,43,85,RL,,9180,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,None,0.0,3,3,CBlock,4,3,Av,ALQ,747,LwQ,93,0,840,GasA,4,SBrkr,884,0,0,884,1,0,1,0,2,1,4,5,Typ,0,0,Attchd,1983.0,RFn,2,504,3,4,Y,240,0,0,0,0,0,0,12,2007,WD,Normal,144000
43,44,20,RL,,9200,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,None,0.0,3,3,CBlock,4,3,Av,LwQ,280,BLQ,491,167,938,GasA,3,SBrkr,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,1977.0,Unf,1,308,3,3,Y,145,0,0,0,0,0,0,7,2008,WD,Normal,130250
44,45,20,RL,70.0,7945,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,None,0.0,3,3,CBlock,3,3,No,ALQ,179,BLQ,506,465,1150,GasA,5,FuseA,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1959.0,RFn,1,300,3,3,Y,0,0,0,0,0,0,0,5,2006,WD,Normal,141000
45,46,120,RL,61.0,7658,Reg,Lvl,Inside,Gtl,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,BrkFace,412.0,5,3,PConc,5,3,No,GLQ,456,Unf,0,1296,1752,GasA,5,SBrkr,1752,0,0,1752,1,0,2,0,2,1,5,6,Typ,1,4,Attchd,2005.0,RFn,2,576,3,3,Y,196,82,0,0,0,0,0,2,2010,WD,Normal,319900
46,47,50,RL,48.0,12822,IR1,Lvl,CulDSac,Gtl,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,5,3,No,GLQ,1351,Unf,0,83,1434,GasA,5,SBrkr,1518,631,0,2149,1,0,1,1,1,1,4,6,Typ,1,5,Attchd,2003.0,RFn,2,670,3,3,Y,168,43,0,0,198,0,0,8,2009,WD,Abnorml,239686
47,48,20,FV,84.0,11096,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,Av,GLQ,24,Unf,0,1632,1656,GasA,5,SBrkr,1656,0,0,1656,0,0,2,0,3,1,4,7,Typ,0,0,Attchd,2006.0,RFn,3,826,3,3,Y,0,146,0,0,0,0,0,7,2007,WD,Normal,249700
48,49,190,RM,33.0,4456,Reg,Lvl,Inside,Gtl,Norm,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,None,0.0,3,3,BrkTil,3,3,No,Unf,0,Unf,0,736,736,GasA,4,SBrkr,736,716,0,1452,0,0,2,0,2,3,3,8,Typ,0,0,NA,0.0,NA,0,0,0,0,N,0,0,102,0,0,0,0,6,2009,New,Partial,113000
49,50,20,RL,66.0,7742,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,None,0.0,3,3,CBlock,3,3,No,BLQ,763,Unf,0,192,955,GasA,5,SBrkr,955,0,0,955,1,0,1,0,3,1,3,6,Typ,0,0,Attchd,1966.0,Unf,1,386,3,3,Y,0,0,0,0,0,0,0,1,2007,WD,Normal,127000
50,51,60,RL,,13869,IR2,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,None,0.0,3,3,PConc,4,3,Av,GLQ,182,Unf,0,612,794,GasA,4,SBrkr,794,676,0,1470,0,1,2,0,3,1,3,6,Typ,0,0,Attchd,1997.0,Fin,2,388,3,3,Y,0,75,0,0,0,0,0,7,2007,WD,Normal,177000
51,52,50,RM,52.0,6240,Reg,Lvl,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,None,0.0,3,3,PConc,3,3,No,Unf,0,Unf,0,816,816,GasA,3,SBrkr,816,0,360,1176,0,0,1,0,3,1,3,6,Typ,1,4,Detchd,1985.0,Unf,2,528,3,3,Y,112,0,0,0,0,0,400,9,2006,WD,Normal,114500
52,53,90,RM,110.0,8472,IR2,Bnk,Corner,Mod,RRNn,Norm,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,None,0.0,2,3,CBlock,4,3,Gd,LwQ,104,GLQ,712,0,816,GasA,3,SBrkr,816,0,0,816,1,0,1,0,2,1,3,5,Typ,0,0,CarPort,1963.0,Unf,2,516,3,3,Y,106,0,0,0,0,0,0,5,2010,WD,Normal,110000
53,54,20,RL,68.0,50271,IR1,Low,Inside,Gtl,Norm,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,None,0.0,4,3,CBlock,5,3,Gd,GLQ,1810,Unf,0,32,1842,GasA,4,SBrkr,1842,0,0,1842,2,0,0,1,0,1,4,5,Typ,1,4,Attchd,1981.0,Fin,3,894,3,3,Y,857,72,0,0,0,0,0,11,2006,WD,Normal,385000
54,55,80,RL,60.0,7134,Reg,Bnk,Inside,Mod,Norm,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,None,0.0,3,3,CBlock,3,3,No,ALQ,384,Unf,0,0,384,GasA,3,SBrkr,1360,0,0,1360,0,0,1,0,3,1,3,6,Min1,1,3,Detchd,1962.0,Unf,2,572,3,3,Y,0,50,0,0,0,0,0,2,2007,WD,Normal,130000
55,56,20,RL,100.0,10175,IR1,Lvl,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,BrkFace,272.0,3,3,CBlock,3,3,No,BLQ,490,Unf,0,935,1425,GasA,4,SBrkr,1425,0,0,1425,0,0,2,0,3,1,3,7,Typ,1,4,Attchd,1964.0,RFn,2,576,3,3,Y,0,0,0,407,0,0,0,7,2008,WD,Normal,180500
56,57,160,FV,24.0,2645,Reg,Lvl,Inside,Gtl,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,BrkFace,456.0,4,3,PConc,4,3,No,GLQ,649,Unf,0,321,970,GasA,5,SBrkr,983,756,0,1739,1,0,2,1,3,1,4,7,Typ,0,0,Attchd,1999.0,Fin,2,480,3,3,Y,115,0,0,0,0,0,0,8,2009,WD,Abnorml,172500
57,58,60,RL,89.0,11645,IR1,Lvl,Corner,Gtl,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,None,0.0,4,3,PConc,4,3,No,Unf,0,Unf,0,860,860,GasA,5,SBrkr,860,860,0,1720,0,0,2,1,3,1,4,7,Typ,0,0,Attchd,2004.0,RFn,2,565,3,3,Y,0,70,0,0,0,0,0,8,2006,WD,Normal,196500
58,59,60,RL,66.0,13682,IR2,HLS,CulDSac,Gtl,Norm,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,BrkFace,1031.0,5,3,PConc,5,3,Gd,Unf,0,Unf,0,1410,1410,GasA,5,SBrkr,1426,1519,0,2945,0,0,3,1,3,1,4,10,Typ,1,4,BuiltIn,2006.0,Fin,3,641,3,3,Y,192,0,37,0,0,0,0,10,2006,New,Partial,438780
59,60,20,RL,60.0,7200,Reg,Bnk,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,None,0.0,3,3,CBlock,3,3,Av,ALQ,632,Unf,0,148,780,GasA,5,SBrkr,780,0,0,780,0,0,1,0,2,1,3,4,Typ,0,0,Detchd,1973.0,Unf,1,352,3,3,Y,196,0,0,0,0,0,0,1,2008,WD,Normal,124900
